,nm1_DT,nm1_LGBM,nm1_XGBoost,nm1_RF,nm1_ET,nm1_GBDT,nm1_AB,nm1_SVM,nm1_MLP,nm1_LR,nm1_AB,nm1_voting_clf,nm1_stacking,nm1_Two_eclf,nm1_voting_clf,nm2_DT,nm2_LGBM,nm2_XGBoost,nm2_RF,nm2_ET,nm2_GBDT,nm2_AB,nm2_SVM,nm2_MLP,nm2_LR,nm2_AB,nm2_voting_clf,nm2_stacking,nm2_Two_eclf,nm2_voting_clf,nm3_DT,nm3_LGBM,nm3_XGBoost,nm3_RF,nm3_ET,nm3_GBDT,nm3_AB,nm3_SVM,nm3_MLP,nm3_LR,nm3_AB,nm3_voting_clf,nm3_stacking,nm3_Two_eclf,nm3_voting_clf,rus_DT,rus_LGBM,rus_XGBoost,rus_RF,rus_ET,rus_GBDT,rus_AB,rus_SVM,rus_MLP,rus_LR,rus_AB,rus_voting_clf,rus_stacking,rus_Two_eclf,rus_voting_clf,cc_DT,cc_LGBM,cc_XGBoost,cc_RF,cc_ET,cc_GBDT,cc_AB,cc_SVM,cc_MLP,cc_LR,cc_AB,cc_voting_clf,cc_stacking,cc_Two_eclf,cc_voting_clf,smotee_DT,smotee_LGBM,smotee_XGBoost,smotee_RF,smotee_ET,smotee_GBDT,smotee_AB,smotee_SVM,smotee_MLP,smotee_LR,smotee_AB,smotee_voting_clf,smotee_stacking,smotee_Two_eclf,smotee_voting_clf,smote_DT,smote_LGBM,smote_XGBoost,smote_RF,smote_ET,smote_GBDT,smote_AB,smote_SVM,smote_MLP,smote_LR,smote_AB,smote_voting_clf,smote_stacking,smote_Two_eclf,smote_voting_clf
ACC,0.6745442121087878,0.7529369960366271,0.747013803471368,0.7581139811398114,0.7595981959819598,0.7388711220445537,0.6863933305999727,0.7196528631952986,0.7411042777094438,0.7019188191881918,0.6863933305999727,0.7521853218532185,0.7573623069564028,0.7640289736230695,0.7521853218532185,0.6693972939729397,0.7551974853081863,0.7529889298892989,0.7648079814131474,0.7633182998496651,0.7478092114254475,0.7181987153204866,0.7137843378433784,0.7455951892852262,0.7071176711767118,0.7181987153204866,0.761096077627443,0.7559354926882602,0.7603608036080362,0.761096077627443,0.6717706455102777,0.7313054453660296,0.73470609448251,0.7449008294266137,0.7423512441399207,0.7304435629282366,0.6862098809953119,0.7176920302921024,0.7261666065632889,0.7074576271186441,0.6862098809953119,0.7347133068878471,0.7389686260367834,0.7347097006851785,0.7347133068878471,0.7522263222632226,0.8313325133251332,0.8158179581795817,0.8143310099767664,0.8209894765614323,0.8098974989749896,0.7381467814678146,0.7448189148558152,0.8024982916495832,0.7359382260489271,0.7381467814678146,0.8195079950799509,0.8202487358206915,0.8180265135984692,0.8195079950799509,0.6760666940002733,0.7529752630859642,0.7426212928795954,0.761864151974853,0.7566735000683341,0.7404236709033757,0.6967664343310099,0.7174661746617466,0.7514883148831488,0.7152275522755227,0.6967664343310099,0.7581549815498155,0.7574224408910757,0.7633292332923329,0.7581549815498155,0.8601626016260162,0.9333333333333333,0.9317073170731707,0.9268292682926831,0.9414634146341465,0.9284552845528455,0.9138211382113821,0.8943089430894309,0.9577235772357724,0.8764227642276424,0.9138211382113821,0.9398373983739837,0.9382113821138212,0.9447154471544715,0.9398373983739837,0.6775846051758461,0.7692793629727936,0.7605441274054412,0.7576483078964831,0.7612846715328467,0.7503463835434638,0.7168865295288652,0.7183357664233576,0.7452793629727937,0.7198062375580624,0.7168865295288652,0.7714611811546118,0.7692846715328467,0.7649263437292635,0.7714611811546118
F1,0.6809462709504415,0.7418648313168134,0.7403089925471948,0.7459466059044558,0.7467975496749985,0.7331815431861497,0.6789586425160861,0.6978624199437258,0.7368803240319551,0.6952160842275805,0.6789586425160861,0.7402628058691275,0.7458189839655164,0.7544400316845078,0.7402628058691275,0.6698583422504563,0.7466895879457047,0.7448939287214296,0.749630309434162,0.7468067001190597,0.740230635113208,0.7025280394593052,0.6961179075987988,0.7461432758988403,0.7028199022959465,0.7025280394593052,0.7508755453795273,0.743397875362856,0.7463760704493743,0.7508755453795273,0.7144189372445409,0.7664827270652979,0.7698254015977579,0.7785896302738735,0.7736177438810933,0.770875888337621,0.7267368109952181,0.754897985355212,0.762591039975614,0.7499291481499483,0.7267368109952181,0.7700441890092947,0.7792540692721389,0.7743061206597179,0.7700441890092947,0.7441502157569063,0.824990057643053,0.8101147252816032,0.806741633065451,0.8167837132746982,0.7982311724039559,0.7317059969374562,0.7188087715904977,0.793847196554779,0.7259449595770904,0.7317059969374562,0.8116149706224434,0.8139320227428506,0.8136920405362698,0.8116149706224434,0.6774723659465349,0.7415666785609163,0.7325237700355918,0.7464780492104823,0.7422297010098224,0.7306229196548337,0.6899427833036096,0.6972518447114957,0.7478000101301515,0.7064014405266026,0.6899427833036096,0.7471028821340896,0.7448435811139509,0.7521126227216408,0.7471028821340896,0.8759246820697524,0.9388384511051922,0.9378381415022636,0.9330414123533671,0.946310743716678,0.9356874984788865,0.9225292083489736,0.903936182459469,0.9621329984917886,0.8897555573417643,0.9225292083489736,0.9453757647898826,0.943726081888529,0.9496604398166596,0.9453757647898826,0.672980556598051,0.7611358862849046,0.7558371386097689,0.7464596308782354,0.7461219354169282,0.7423713429218022,0.7118181667592041,0.6998840458927459,0.7429392700927865,0.711818445888019,0.7118181667592041,0.7621940063960063,0.7588714804376424,0.7557847927211023,0.7621940063960063
F2,0.6887016499199006,0.7230528430359466,0.7287002944323676,0.7240365315900034,0.7241124102371584,0.7234781146113463,0.6700846404192907,0.6671348579201168,0.7298828155452054,0.6868605355595812,0.6700846404192907,0.7196119984593227,0.7245806790139948,0.7364028365446302,0.7196119984593227,0.670354666111948,0.7320622180799082,0.7296424619229221,0.7222798431278393,0.7175356027836559,0.7278112994120887,0.6810977557870537,0.6700671616340543,0.7462066352852129,0.6971149024451886,0.6810977557870537,0.7327753696474858,0.7216885078553332,0.7213792097887926,0.7327753696474858,0.7150549170377054,0.7679080715218626,0.7719180586846539,0.7823713592666157,0.770736227812663,0.7820929294021212,0.7272229177528576,0.7571161032377282,0.7641809695508222,0.7582957584366239,0.7272229177528576,0.7728076888162196,0.7932867098696463,0.7859293296426773,0.7728076888162196,0.7306587620839003,0.8086970810776437,0.796585757143274,0.7885780239114674,0.8060371211600217,0.7702642496901791,0.720998448701061,0.6777089910608172,0.7736230908731825,0.7100175248750586,0.720998448701061,0.7919093806856268,0.7983679167912514,0.8030462280080147,0.7919093806856268,0.6794472733860745,0.7223514166814604,0.7158789240199614,0.7181890397055295,0.7147511915121227,0.716340191648474,0.6806662922665027,0.667600109892507,0.7404767138257189,0.6955542927791031,0.6806662922665027,0.7270925915618283,0.7225300388511584,0.7295700362345954,0.7270925915618283,0.8870078623693111,0.9369135417838643,0.9385862925623071,0.9283178592782925,0.9419886664152106,0.9412377136319335,0.924298408922167,0.9008010135350857,0.96260476738574,0.8952142629416787,0.924298408922167,0.945114306313226,0.94270574074291,0.9468678410744259,0.945114306313226,0.6668664816201104,0.7452340478930881,0.746913561651559,0.7260930944949141,0.7202036437655205,0.7290125553386473,0.7045365646943589,0.6738366647852742,0.7394798234418962,0.6994872345749997,0.7045365646943589,0.7446661147442005,0.7397455143317269,0.738745083809534,0.7446661147442005
GMean,0.6743110230837774,0.7517628524035306,0.7465365731416945,0.7569750874494958,0.7578740503278675,0.7385352621976065,0.6860121404889885,0.7160578969552385,0.7408452262905587,0.700029945364124,0.6860121404889885,0.750858825124096,0.756190475283365,0.7634107380452255,0.750858825124096,0.6695486908761163,0.7536287562298611,0.7509170858193986,0.7617643636993557,0.7603188465987295,0.7463850854065829,0.7160625922275834,0.7105730441836048,0.7454229311439867,0.7057339232947358,0.7160625922275834,0.7593781327954228,0.7537333376585581,0.7582838169716599,0.7593781327954228,0.6622917490082312,0.7233612488264214,0.726528807815394,0.7359047588770984,0.7369323806509793,0.7169888417372715,0.6770406691130046,0.708669511651917,0.7181669133571484,0.6948199520011521,0.6770406691130046,0.726323083920456,0.7240875773912135,0.720779394438317,0.726323083920456,0.7515529841449451,0.8306389401025331,0.8148557089219928,0.8137822566331335,0.8209350096307924,0.8076736912120491,0.7370839123266352,0.7393643756698222,0.801674414284131,0.734861355422833,0.7370839123266352,0.8185284580506045,0.8197622666014434,0.8180343548473468,0.8185284580506045,0.6758673645388091,0.7489311776704691,0.7380662754417578,0.7577945809944466,0.7525311397591729,0.7371715651583866,0.6951394798056963,0.7125010499178586,0.7507918805833211,0.7132434662188964,0.6951394798056963,0.7535706946242897,0.752739512253625,0.7598711171255597,0.7535706946242897,0.8551254221226724,0.9336202910463214,0.9316497210027863,0.9282580396014962,0.9426454806985174,0.9274464477116473,0.9137786948564297,0.8950324783119991,0.9576341704560953,0.8741236008527572,0.9137786948564297,0.9401880046339933,0.9385718073285056,0.9452466206119972,0.9401880046339933,0.6765404505518857,0.7682785595395643,0.7605169963124776,0.7561129901549758,0.7585836879416378,0.7490542597171637,0.7160667502166568,0.7154919947631969,0.7447906737808553,0.7193467764075198,0.7160667502166568,0.7702573388767268,0.767951527624167,0.7639899781985187,0.7702573388767268
SEN,0.6947174240477954,0.7113840907144621,0.7217208780617224,0.7103764824805764,0.7097935483654302,0.7174793254513978,0.6645113250349683,0.6485660888707541,0.7259651844799417,0.6818120055949317,0.6645113250349683,0.7069405698031531,0.7114986424062908,0.7252120012291386,0.7069405698031531,0.6708683394370478,0.722737201090105,0.7199633273387637,0.7051940678947979,0.699330707140926,0.7200079759679887,0.6676661646004712,0.6538469688802916,0.7465020762704038,0.6937052485227667,0.6676661646004712,0.7213187381514896,0.7080190046327781,0.7057130431424307,0.7213187381514896,0.7157859078608099,0.7689600259175824,0.7734024707010556,0.7851720596077136,0.7691035528242164,0.7899515989554177,0.7276441966841005,0.7590140434888889,0.7656234670475557,0.7641880152710754,0.7276441966841005,0.7747443596602674,0.80313690886003,0.7940289877089526,0.7747443596602674,0.7220489002399507,0.7982066665659175,0.7878478151724739,0.7772184189448549,0.7991401906508221,0.7527840997818782,0.7141657725186764,0.6529461042853617,0.7608167727050621,0.7001055178586121,0.7141657725186764,0.7793214718095708,0.7883787459763341,0.7962623438599319,0.7793214718095708,0.6808347564139376,0.7108039271987225,0.7060512241851499,0.7008131289470546,0.6979338884607055,0.7076279471201719,0.6749985643257621,0.6497107830049753,0.735857500516339,0.6889019526848787,0.6749985643257621,0.7152156953616808,0.709172917306843,0.7157852802251407,0.7152156953616808,0.8950163043478261,0.9358061594202898,0.9393840579710145,0.9258134057971015,0.9396159420289856,0.9451865942028986,0.9258188405797101,0.8990579710144928,0.9630199275362319,0.8992898550724637,0.9258188405797101,0.9451811594202898,0.9422826086956521,0.9451811594202898,0.9451811594202898,0.6631328442964016,0.7352238235960127,0.7412965135812013,0.7135157021588157,0.7042346926692572,0.7206575680852655,0.699878985967552,0.6576996490072812,0.7373051224516114,0.6916789959608229,0.699878985967552,0.7336538440876468,0.7278154508409446,0.7282550054740189,0.7336538440876468
PREC,0.6708123619862765,0.7773609894234894,0.7631129991538144,0.7868085422318754,0.7882390788426299,0.751466513143553,0.6952714932126697,0.7586084616584546,0.7518040809021682,0.7117004584283178,0.6952714932126697,0.7799309244179999,0.7862844783715012,0.7882685610493891,0.7799309244179999,0.6697566668137881,0.772947494975531,0.7724878947055187,0.8004976685148175,0.801695517219199,0.7630269314182316,0.7422131888462133,0.7449049077291059,0.7470437001493371,0.7140154171400475,0.7422131888462133,0.7837984636452986,0.7832367554436738,0.7926239886407697,0.7837984636452986,0.7145189142215752,0.7645205524070093,0.7666926485587027,0.7733669406409678,0.7795952254271113,0.7535395743500382,0.7263109644003016,0.7528638298962391,0.7614237761571737,0.7371414591114854,0.7263109644003016,0.7658014721815087,0.7576544992254565,0.7562175907265261,0.7658014721815087,0.7683579277378881,0.8537453479472091,0.8338696835571836,0.8404118674500634,0.8358572029358877,0.8502177253350162,0.750918902835432,0.8004687170239055,0.8305922355467261,0.7557653749759013,0.750918902835432,0.8468625713651677,0.8415564220441418,0.8327963733793948,0.8468625713651677,0.6744552781512325,0.7795975754797315,0.7662368798610588,0.8008298337487393,0.795359554420469,0.7581747324944421,0.7077761045065394,0.756091835796058,0.7611565730991842,0.727280406420092,0.7077761045065394,0.7875239569512015,0.7894743852873968,0.7956133851196003,0.7875239569512015,0.8596220369570753,0.9427529986353516,0.9378181978418164,0.9436593975682422,0.9556498829039812,0.9273980753031548,0.9209425272085119,0.9106261140819963,0.9617491402484246,0.8823207549968114,0.9209425272085119,0.9467877073498661,0.9464984600805497,0.9550427919924189,0.9467877073498661,0.6846587573124938,0.7902894320200422,0.7721939955580361,0.7851431263113795,0.7955384270264149,0.7670885488761147,0.7247979304756704,0.7491224337632658,0.7492756714481239,0.7342168844634787,0.7247979304756704,0.7944466411668275,0.7945349519766562,0.7883010511771037,0.7944466411668275
SPEC,0.6568708619751117,0.7955303624908844,0.7739936095219792,0.8071932908132634,0.8093745255141517,0.7612510247359855,0.7088978866174946,0.7922806067587884,0.7582707165460384,0.7211806569742083,0.7088978866174946,0.7989515373245577,0.8048411625656129,0.8045528314936996,0.7989515373245577,0.6686752393480205,0.7865750925762889,0.7842687748703472,0.8234038507056052,0.826973392157111,0.7749816247623016,0.7687757363617567,0.7727656123346565,0.7451689150438723,0.7198090749506381,0.7687757363617567,0.8001467698135125,0.8030618583771713,0.8150820834143723,0.8001467698135125,0.6141801987456051,0.6808171580028768,0.6827824049030935,0.6906744159611764,0.7072026844920218,0.6514329843345645,0.6302896109538719,0.6634766936925441,0.6751227060933961,0.6320826723597642,0.6302896109538719,0.6811708203855579,0.6535951507953908,0.6549020919353841,0.6811708203855579,0.7826551873219298,0.8644218331198505,0.8430439770459139,0.8528951155625988,0.8435594935723113,0.8669361094136073,0.7615031040341511,0.8375673199274658,0.8449704941251028,0.7724905908425335,0.7615031040341511,0.8597501082758005,0.8525052641795264,0.8407585913826658,0.8597501082758005,0.6711579813938251,0.7929599074563185,0.7764306311759884,0.8211685318108357,0.8135228831169927,0.7710012433015738,0.718091487968439,0.7842336048955623,0.766890883887295,0.7407502716964948,0.718091487968439,0.7985623093185473,0.8032003641289274,0.8093083420510216,0.7985623093185473,0.8183458882611425,0.931842435655995,0.9247489014438168,0.9324701820464532,0.9471202134337726,0.9105618330194603,0.9026914626490898,0.8918942247332078,0.9524952919020715,0.8507062146892654,0.9026914626490898,0.9358600125549277,0.9355461393596987,0.9457156308851223,0.9358600125549277,0.6916632154751429,0.8036936107659919,0.780796977187624,0.8028002644475505,0.8186220362892789,0.7798363595969008,0.7332820777467169,0.7790764234008042,0.7528459388103743,0.7486347302031027,0.7332820777467169,0.8095744411226725,0.8114131982191852,0.8030722614795259,0.8095744411226725
MCC,0.35239448515434063,0.5091769146276143,0.49719761117648276,0.51995972197117,0.5216788278994892,0.4795506435505901,0.373862299056682,0.4460650657843305,0.4854139696805376,0.4046121394499571,0.373862299056682,0.5087362792704889,0.5191369768381803,0.5315745803102307,0.5087362792704889,0.33944330340715756,0.5110228318479074,0.5065249755627561,0.5328109867478228,0.5307394801856263,0.4966311008261492,0.43869239550015465,0.43051091958981347,0.4919266040440502,0.414785309920821,0.43869239550015465,0.5236749642772889,0.5139389214093251,0.5239776218392616,0.5236749642772889,0.3300237171886974,0.45022933464984527,0.45682004910279445,0.4783664531902036,0.47583543693216585,0.44572588564417953,0.35816341675109015,0.4238429914955308,0.44141394727322536,0.399416813100681,0.35816341675109015,0.45674460096653846,0.4628206407545389,0.4540632992567103,0.45674460096653846,0.5055901536639383,0.6638096882190382,0.6321048227310342,0.631863097234892,0.6430387066426793,0.6240034842629029,0.4766623552136126,0.4988357130583143,0.6076665635450429,0.47431732238453483,0.4766623552136126,0.6408920662241667,0.6418701454438649,0.6373728911134262,0.6408920662241667,0.35193938100317723,0.5089719484131165,0.4877519182198819,0.5279090290625402,0.5175996790834452,0.4819310170819664,0.39447510697718635,0.4403584743787885,0.5034990770419937,0.43145074772081254,0.39447510697718635,0.5200088411271306,0.5186661650313301,0.5301860233291358,0.5200088411271306,0.7180123292145991,0.8661494944608211,0.8634984336200553,0.8560293683041598,0.8847706605028653,0.8562518540079317,0.8273177240000003,0.7883815445294158,0.9146004410363526,0.751200535224058,0.8273177240000003,0.8795596372461667,0.8764281744156852,0.8890395976340113,0.8795596372461667,0.3556005503103538,0.5405508909589658,0.522464342739043,0.5190896969872203,0.5269340830098839,0.5021513489455838,0.4336921669718924,0.4402866320026385,0.4904524480426534,0.4410310443249005,0.4336921669718924,0.5451745432851058,0.5415206624943865,0.5334310728955899,0.5451745432851058
AUC,0.6757941430114536,0.8283196094659724,0.8245394169665186,0.8345178019201833,0.8353206416005238,0.8087600153628667,0.7663514514303607,0.779281297903875,0.7971009567920982,0.7807401152288145,0.7663514514303607,0.8345455971622556,0.8033997609036408,0.7860112820822287,0.8345455971622556,0.6697717893925341,0.8389708008429586,0.8305292164464453,0.8371377246202407,0.842623216847233,0.821151924436516,0.788998384935,0.7773662070174178,0.8068262046440189,0.7844329743175777,0.788998384935,0.842115493500685,0.8102237509435197,0.7813890872470927,0.842115493500685,0.6649830533032075,0.825273502776756,0.819257852156605,0.8288532277541764,0.8177375405508887,0.8101564501943374,0.7571815981811775,0.7693031839155203,0.7900113127420461,0.7743777629159839,0.7571815981811775,0.8285828069188407,0.78445527751271,0.7516519981053709,0.8285828069188407,0.7523520437809403,0.9166687264370891,0.9072892709650281,0.9113430468125125,0.9153684781666642,0.8816160618741323,0.8127120549519843,0.8015040585051494,0.8655709607715556,0.8087798779528039,0.8127120549519843,0.9175481588873081,0.8693698023391979,0.8486577954875194,0.9175481588873081,0.6759963689038813,0.8358981121094271,0.8272046627165957,0.8377823099381914,0.8368482444867921,0.8153480620465459,0.7866767968999987,0.7742260941356418,0.8082997082275629,0.7909331904415478,0.7866767968999987,0.8386296519744102,0.7988042547669132,0.7776646546381831,0.8386296519744102,0.8566810963044844,0.982849794617757,0.9819368807827725,0.9827990762347953,0.9900335412174641,0.9801211664255757,0.963984962517172,0.9519135165624972,0.988394771736856,0.940570370142926,0.963984962517172,0.9858190930429325,0.9656173976727894,0.9593257190652947,0.9858190930429325,0.6773980298857722,0.8471432304251525,0.8453192700906215,0.8448868874540618,0.8453904399630217,0.8324441778012751,0.7824814922668184,0.7783256887461584,0.8103339195720259,0.7953958137955923,0.7824814922668184,0.8530981185868285,0.8160503332807029,0.7870651981486063,0.8530981185868285
AUPR,0.6182414618967077,0.8536835676444161,0.8510627167303024,0.8571736207378449,0.8562314760713263,0.8410230754713159,0.8060409720765083,0.8011134040349261,0.8189782792145678,0.7987248796666557,0.8060409720765083,0.8609792512854796,0.7735349266696918,0.7413287672922598,0.8609792512854796,0.6141286301105345,0.8625419238865619,0.856178867550206,0.860355582591486,0.8630574505012142,0.8535915799755098,0.814487244395259,0.8032377999787776,0.8258754297608867,0.8066030370922377,0.814487244395259,0.8681068943193114,0.7876930981478069,0.7371202619351923,0.8681068943193114,0.6755858880349477,0.8809209735253407,0.872205176457021,0.8807165485653726,0.8716169911149965,0.8694048479287891,0.829909296171266,0.8209633250819932,0.8534436774453971,0.8354307257030786,0.829909296171266,0.8838110658358225,0.7892223104060841,0.7484622101050347,0.8838110658358225,0.6938401210290711,0.9185513001340017,0.9107597097782885,0.9127119662120105,0.9130628914694565,0.8903950016754214,0.8445562962927401,0.8231317689463727,0.8762930851956934,0.8310488415575528,0.8445562962927401,0.9183872013975367,0.8341610836240714,0.8058919705632656,0.9183872013975367,0.6191091122785811,0.8637967810107521,0.8563650165766272,0.8626586659152629,0.8613419642430987,0.8476914934257817,0.8168757454097018,0.7998423530632726,0.8320619852237108,0.812348979817809,0.8168757454097018,0.8674242988507833,0.7752119128466052,0.7355781458326371,0.8674242988507833,0.827538272569778,0.9854077948836792,0.9846759735587136,0.9871661486466294,0.9924088851192835,0.9847729886322643,0.9730116478938943,0.9515149037610688,0.9840442973996151,0.9478284151112293,0.9730116478938943,0.9893801955957834,0.962594313128555,0.9544186333369227,0.9893801955957834,0.6229790565325127,0.8690131677120639,0.8639693135585956,0.8628274519890617,0.8609617732256286,0.8559684599443141,0.7945622142915963,0.7988979626822889,0.8258945752285701,0.8066697888234694,0.7945622142915963,0.8731134475585979,0.7862651169035637,0.7395360767347322,0.8731134475585979
